zone_name,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
Ground Floor - Zone 20,Wall,Outside,2.95,Best wall,1.774,5.2336,143.164,422.3338,0.04,0.13,270.0,90.0,True,391.701,,400.374,,1117.0
Ground Floor - Zone 20,Ground floor,Ground,23.684,Project ground floor,0.25,5.9195,93.96,2225.349,0.01,0.17,0.0,180.0,True,965.646,,974.664,,10093.0
Ground Floor - Zone 20,Glazing,Outside,7.187,SageGlass Climatop Blue No Tint,0.687,4.9375,0.0,0.0,0.061,0.293,0.0,90.0,False,365.531,**,365.531,**,0.0
Ground Floor - Zone 99,Infiltration,Outside,,,,6.814,,,,,,,False,0.0,,,,
Ground Floor - Zone 99,Ceiling,First floor - Zone 34,5.126,Project internal floor_Reversed,2.929,15.0134,88.2,452.1132,0.17,0.1,180.0,0.0,True,43.058,,43.058,,2184.0
Ground Floor - Zone 99,Ceiling,First floor - Zone 31,0.134,Project internal floor_Reversed,2.929,0.3925,88.2,11.8188,0.17,0.1,180.0,0.0,True,1.126,,1.126,,57.0
Ground Floor - Zone 99,Ceiling,First floor - Zone 29,0.2,Project internal floor_Reversed,2.929,0.5858,88.2,17.64,0.17,0.1,180.0,0.0,True,1.68,,1.68,,85.0
Ground Floor - Zone 99,Partition,Ground Floor - Zone 95,16.404,Project partition,1.639,26.8918,22.5,369.09,0.13,0.13,180.0,90.0,True,44.291,,47.982,,6214.0
Ground Floor - Zone 99,Partition,Ground Floor - Zone 96,11.587,Project partition,1.639,18.9951,22.5,260.7075,0.13,0.13,90.0,90.0,True,0.0,,0.0,,4389.0
Ground Floor - Zone 99,Partition,Ground Floor - Zone 97,11.587,Project partition,1.639,18.9951,22.5,260.7075,0.13,0.13,270.0,90.0,True,31.285,,33.892,,4389.0
Ground Floor - Zone 99,Partition,Ground Floor - Zone 93,6.884,Project partition,1.639,11.2852,22.5,154.89,0.13,0.13,0.0,90.0,True,0.0,,0.0,,2608.0
Ground Floor - Zone 99,Wall,Outside,4.13,Best wall,1.774,7.327,143.164,591.2673,0.04,0.13,0.0,90.0,True,548.381,,560.524,,1564.0
Ground Floor - Zone 99,Partition,Ground Floor - Zone 94,3.62,Project partition,1.639,5.9344,22.5,81.45,0.13,0.13,0.0,90.0,True,0.0,,0.0,,1371.0
Ground Floor - Zone 99,Ground floor,Ground,5.46,Project ground floor,0.25,1.3647,93.96,513.0217,0.01,0.17,0.0,180.0,True,222.615,,224.695,,2327.0
Ground Floor - Zone 99,Glazing,Outside,1.77,SageGlass Climatop Blue No Tint,0.687,1.216,0.0,0.0,0.061,0.293,0.0,90.0,False,90.022,**,90.022,**,0.0
Ground Floor - Zone 97,Infiltration,Outside,,,,10.015,,,,,,,False,0.0,,,,
Ground Floor - Zone 97,Ceiling,First floor - Zone 34,0.144,Project internal floor_Reversed,2.929,0.4218,88.2,12.7008,0.17,0.1,180.0,0.0,True,1.21,,1.21,,61.0
Ground Floor - Zone 97,Ceiling,First floor - Zone 28,6.878,Project internal floor_Reversed,2.929,20.1448,88.2,606.6396,0.17,0.1,180.0,0.0,True,57.775,,57.775,,2931.0
Ground Floor - Zone 97,Ceiling,First floor - Zone 33,0.155,Project internal floor_Reversed,2.929,0.454,88.2,13.671,0.17,0.1,180.0,0.0,True,1.302,,1.302,,66.0
Ground Floor - Zone 97,Ceiling,First floor - Zone 29,0.353,Project internal floor_Reversed,2.929,1.0339,88.2,31.1346,0.17,0.1,180.0,0.0,True,2.965,,2.965,,150.0
Ground Floor - Zone 97,Partition,Ground Floor - Zone 99,11.587,Project partition,1.639,18.9951,22.5,260.7075,0.13,0.13,90.0,90.0,True,0.0,,0.0,,4389.0
Ground Floor - Zone 97,Partition,Ground Floor - Zone 95,3.505,Project partition,1.639,5.7459,22.5,78.8625,0.13,0.13,90.0,90.0,True,9.464,,10.252,,1328.0
Ground Floor - Zone 97,Partition,Ground Floor - Zone 98,17.369,Project partition,1.639,28.4738,22.5,390.8025,0.13,0.13,180.0,90.0,True,0.0,,0.0,,6579.0
Ground Floor - Zone 97,Partition,Ground Floor - Zone 24,15.091,Project partition,1.639,24.7393,22.5,339.5475,0.13,0.13,270.0,90.0,True,40.746,,44.141,,5716.0
Ground Floor - Zone 97,Partition,Ground Floor - Zone 93,17.369,Project partition,1.639,28.4738,22.5,390.8025,0.13,0.13,0.0,90.0,True,0.0,,0.0,,6579.0
Ground Floor - Zone 97,Ground floor,Ground,7.53,Project ground floor,0.25,1.882,93.96,707.5189,0.01,0.17,0.0,180.0,True,307.014,,309.881,,3209.0
Ground Floor - Zone 58,Infiltration,Outside,,,,1212.691,,,,,,,False,0.0,,,,
Ground Floor - Zone 58,Ceiling,First floor - Zone 64,110.243,Project internal floor_Reversed,2.929,322.8874,88.2,9723.433,0.17,0.1,180.0,0.0,True,926.041,,926.041,,46979.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 69,74.078,Project internal floor_Reversed,2.929,216.9649,88.2,6533.68,0.17,0.1,180.0,0.0,True,622.255,,622.255,,31567.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 95,91.704,Project internal floor_Reversed,2.929,268.5891,88.2,8088.293,0.17,0.1,180.0,0.0,True,770.314,,770.314,,39078.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 91,70.831,Project internal floor_Reversed,2.929,207.4548,88.2,6247.294,0.17,0.1,180.0,0.0,True,594.98,,594.98,,30184.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 90,67.42,Project internal floor_Reversed,2.929,197.4644,88.2,5946.444,0.17,0.1,180.0,0.0,True,566.328,,566.328,,28730.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 83,107.124,Project internal floor_Reversed,2.929,313.7523,88.2,9448.337,0.17,0.1,180.0,0.0,True,899.842,,899.842,,45649.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 68,57.481,Project internal floor_Reversed,2.929,168.3544,88.2,5069.824,0.17,0.1,180.0,0.0,True,482.84,,482.84,,24495.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 67,53.305,Project internal floor_Reversed,2.929,156.1234,88.2,4701.501,0.17,0.1,180.0,0.0,True,447.762,,447.762,,22715.0
Ground Floor - Zone 58,Ceiling,First floor - Zone 66,1.635,Project internal floor_Reversed,2.929,4.7887,88.2,144.207,0.17,0.1,180.0,0.0,True,13.734,,13.734,,697.0
Ground Floor - Zone 58,Roof,Outside,209.096,Best roof,0.223,46.6384,240.0,50183.04,0.04,0.1,180.0,0.0,True,33952.59,*,35991.28,*,59402.0
Ground Floor - Zone 58,Wall,Outside,128.818,Best wall,1.774,228.5346,143.164,18442.1,0.04,0.13,270.0,90.0,True,17104.45,,17483.18,,48795.0
Ground Floor - Zone 58,Wall,Outside,117.519,Best wall,1.774,208.4891,143.164,16824.49,0.04,0.13,180.0,90.0,True,15604.17,,15949.68,,44515.0
Ground Floor - Zone 58,Wall,Outside,15.806,Best wall,1.774,28.0412,143.164,2262.85,0.04,0.13,0.0,90.0,True,2098.721,,2145.19,,5987.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 59,20.945,Project partition,1.639,34.3361,22.5,471.2625,0.13,0.13,0.23,90.0,True,56.552,,61.264,,7934.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 83,52.982,Project partition,1.639,86.8557,22.5,1192.095,0.13,0.13,0.23,90.0,True,143.051,,154.972,,20069.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 83,82.772,Project partition,1.639,135.6918,22.5,1862.37,0.13,0.13,90.0,90.0,True,223.484,,242.108,,31353.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 83,145.258,Project partition,1.639,238.1279,22.5,3268.305,0.13,0.13,0.0,90.0,True,392.197,,424.88,,55022.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 83,69.645,Project partition,1.639,114.1721,22.5,1567.013,0.13,0.13,270.0,90.0,True,188.042,,203.712,,26381.0
Ground Floor - Zone 58,Wall,Outside,43.718,Best wall,1.774,77.5596,143.164,6258.844,0.04,0.13,180.12,90.0,True,5804.876,,5933.407,,16560.0
Ground Floor - Zone 58,Wall,Outside,40.493,Best wall,1.774,71.8382,143.164,5797.14,0.04,0.13,89.59,90.0,True,5376.661,,5495.71,,15338.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 83,21.904,Project partition,1.639,35.9082,22.5,492.84,0.13,0.13,180.0,90.0,True,59.141,,64.069,,8297.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 83,58.115,Project partition,1.639,95.2705,22.5,1307.588,0.13,0.13,90.2,90.0,True,156.911,,169.986,,22013.0
Ground Floor - Zone 58,Partition,Ground Floor - Zone 57,22.421,Project partition,1.639,36.7557,22.5,504.4725,0.13,0.13,90.0,90.0,True,0.0,,0.0,,8493.0
Ground Floor - Zone 58,Wall,Outside,14.744,Best wall,1.774,26.1572,143.164,2110.81,0.04,0.13,90.0,90.0,True,1957.708,,2001.056,,5585.0
Ground Floor - Zone 58,Ground floor,Ground,842.959,Project ground floor,0.25,210.6864,93.96,79204.43,0.01,0.17,0.0,180.0,True,34369.18,,34690.16,,359215.0
Ground Floor - Zone 58,Glazing,Outside,38.595,SageGlass Climatop Blue No Tint,0.687,26.5148,0.0,0.0,0.061,0.293,270.0,90.0,False,1962.942,**,1962.942,**,0.0
Ground Floor - Zone 58,Glazing,Outside,34.524,SageGlass Climatop Blue No Tint,0.687,23.718,0.0,0.0,0.061,0.293,180.0,90.0,False,1755.891,**,1755.891,**,0.0
Ground Floor - Zone 58,Glazing,Outside,1.009,SageGlass Climatop Blue No Tint,0.687,0.6932,0.0,0.0,0.061,0.293,0.0,90.0,False,51.318,**,51.318,**,0.0
Ground Floor - Zone 58,Glazing,Outside,18.545,SageGlass Climatop Blue No Tint,0.687,12.7404,0.0,0.0,0.061,0.293,180.12,90.0,False,943.199,**,943.199,**,0.0
Ground Floor - Zone 58,Glazing,Outside,17.16,SageGlass Climatop Blue No Tint,0.687,11.7889,0.0,0.0,0.061,0.293,89.59,90.0,False,872.758,**,872.758,**,0.0
Ground Floor - Zone 58,Glazing,Outside,1.186,SageGlass Climatop Blue No Tint,0.687,0.8148,0.0,0.0,0.061,0.293,90.0,90.0,False,60.32,**,60.32,**,0.0
Ground Floor - Zone 83,Infiltration,Outside,,,,1515.7,,,,,,,False,0.0,,,,
Ground Floor - Zone 83,Wall,Outside,121.282,Best wall,1.774,215.165,143.164,17363.22,0.04,0.13,180.0,90.0,True,16103.82,,16460.39,,45940.0
Ground Floor - Zone 83,Floor,Outside,28.764,Project external floor,0.246,7.0835,6.294,181.0406,0.1,0.17,0.0,180.0,True,270.764,,280.651,,12257.0
Ground Floor - Zone 83,Wall,Outside,74.731,Best wall,1.774,132.5794,143.164,10698.79,0.04,0.13,0.0,90.0,True,9922.782,,10142.49,,28307.0
Ground Floor - Zone 83,Wall,Outside,75.849,Best wall,1.774,134.5629,143.164,10858.85,0.04,0.13,270.0,90.0,True,10071.23,,10294.23,,28731.0
Ground Floor - Zone 83,Wall,Outside,55.437,Best wall,1.774,98.3502,143.164,7936.583,0.04,0.13,90.0,90.0,True,7360.925,,7523.91,,20999.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 26,0.55,Project internal floor_Reversed,2.929,1.6109,88.2,48.51,0.17,0.1,180.0,0.0,True,4.62,,4.62,,234.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 25,1.123,Project internal floor_Reversed,2.929,3.2891,88.2,99.0486,0.17,0.1,180.0,0.0,True,9.433,,9.433,,479.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 80,50.054,Project internal floor_Reversed,2.929,146.6017,88.2,4414.763,0.17,0.1,180.0,0.0,True,420.454,,420.454,,21330.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 81,32.675,Project internal floor_Reversed,2.929,95.7008,88.2,2881.935,0.17,0.1,180.0,0.0,True,274.47,,274.47,,13924.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 82,386.908,Project internal floor_Reversed,2.929,1133.2033,88.2,34125.29,0.17,0.1,180.0,0.0,True,3250.027,,3250.027,,164876.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 73,50.914,Project internal floor_Reversed,2.929,149.1205,88.2,4490.615,0.17,0.1,180.0,0.0,True,427.678,,427.678,,21696.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 23,1.955,Project internal floor_Reversed,2.929,5.7259,88.2,172.431,0.17,0.1,180.0,0.0,True,16.422,,16.422,,833.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 24,17.547,Project internal floor_Reversed,2.929,51.3929,88.2,1547.646,0.17,0.1,180.0,0.0,True,147.395,,147.395,,7477.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 74,0.496,Project internal floor_Reversed,2.929,1.4527,88.2,43.7472,0.17,0.1,180.0,0.0,True,4.166,,4.166,,211.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 64,1.29,Project internal floor_Reversed,2.929,3.7782,88.2,113.778,0.17,0.1,180.0,0.0,True,10.836,,10.836,,550.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 95,221.443,Project internal floor_Reversed,2.929,648.5778,88.2,19531.27,0.17,0.1,180.0,0.0,True,1860.121,,1860.121,,94365.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 91,102.615,Project internal floor_Reversed,2.929,300.546,88.2,9050.644,0.17,0.1,180.0,0.0,True,861.966,,861.966,,43728.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 90,3.698,Project internal floor_Reversed,2.929,10.831,88.2,326.1636,0.17,0.1,180.0,0.0,True,31.063,,31.063,,1576.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 83,208.607,Project internal floor_Reversed,2.929,610.9828,88.2,18399.14,0.17,0.1,180.0,0.0,True,1752.299,,1752.299,,88895.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 66,5.722,Project internal floor_Reversed,2.929,16.759,88.2,504.6805,0.17,0.1,180.0,0.0,True,48.065,,48.065,,2438.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 38,1.155,Project internal floor_Reversed,2.929,3.3828,88.2,101.871,0.17,0.1,180.0,0.0,True,9.702,,9.702,,492.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 43,0.245,Project internal floor_Reversed,2.929,0.7176,88.2,21.609,0.17,0.1,180.0,0.0,True,2.058,,2.058,,104.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 39,0.037,Project internal floor_Reversed,2.929,0.1084,88.2,3.2634,0.17,0.1,180.0,0.0,True,0.311,,0.311,,16.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 48,0.808,Project internal floor_Reversed,2.929,2.3665,88.2,71.2656,0.17,0.1,180.0,0.0,True,6.787,,6.787,,344.0
Ground Floor - Zone 83,Ceiling,First floor - Zone 51,0.119,Project internal floor_Reversed,2.929,0.3485,88.2,10.4958,0.17,0.1,180.0,0.0,True,1.0,,1.0,,51.0
Ground Floor - Zone 83,Roof,Outside,1.837,Best roof,0.223,0.4097,240.0,440.88,0.04,0.1,180.0,0.0,True,298.288,*,316.199,*,522.0
Ground Floor - Zone 83,Ground floor,Ground,1061.043,Project ground floor,0.25,265.1936,93.96,99695.6,0.01,0.17,0.0,180.0,True,43260.91,,43664.93,,452149.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 86,70.491,Project partition,1.639,115.559,22.5,1586.048,0.13,0.13,270.0,90.0,True,0.0,,0.0,,26701.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 86,35.253,Project partition,1.639,57.7918,22.5,793.1925,0.13,0.13,180.0,90.0,True,0.0,,0.0,,13353.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 84,55.759,Project partition,1.639,91.4082,22.5,1254.578,0.13,0.13,180.0,90.0,True,0.0,,0.0,,21121.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 49,20.96,Project partition,1.639,34.3607,22.5,471.6,0.13,0.13,270.01,90.0,True,0.0,,0.0,,7939.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 49,57.083,Project partition,1.639,93.5787,22.5,1284.368,0.13,0.13,180.0,90.0,True,0.0,,0.0,,21622.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 49,10.48,Project partition,1.639,17.1803,22.5,235.8,0.13,0.13,90.0,90.0,True,0.0,,0.0,,3970.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 50,29.509,Project partition,1.639,48.3754,22.5,663.9526,0.13,0.13,178.58,90.0,True,0.0,,0.0,,11178.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 50,20.945,Project partition,1.639,34.3361,22.5,471.2625,0.13,0.13,90.0,90.0,True,0.0,,0.0,,7934.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 57,17.435,Project partition,1.639,28.582,22.5,392.2875,0.13,0.13,180.0,90.0,True,0.0,,0.0,,6604.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 58,58.115,Project partition,1.639,95.2705,22.5,1307.588,0.13,0.13,270.2,90.0,True,0.0,,0.0,,22013.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 58,21.904,Project partition,1.639,35.9082,22.5,492.84,0.13,0.13,0.0,90.0,True,0.0,,0.0,,8297.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 58,82.772,Project partition,1.639,135.6918,22.5,1862.37,0.13,0.13,270.0,90.0,True,0.0,,0.0,,31353.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 58,145.258,Project partition,1.639,238.1279,22.5,3268.305,0.13,0.13,180.0,90.0,True,0.0,,0.0,,55022.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 58,69.645,Project partition,1.639,114.1721,22.5,1567.013,0.13,0.13,90.0,90.0,True,0.0,,0.0,,26381.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 58,52.982,Project partition,1.639,86.8557,22.5,1192.095,0.13,0.13,180.23,90.0,True,0.0,,0.0,,20069.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 59,9.081,Project partition,1.639,14.8869,22.5,204.3225,0.13,0.13,270.0,90.0,True,0.0,,0.0,,3440.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 64,24.446,Project partition,1.639,40.0754,22.5,550.035,0.13,0.13,0.0,90.0,True,66.004,,71.505,,9260.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 65,18.624,Project partition,1.639,30.5311,22.5,419.04,0.13,0.13,0.0,90.0,True,0.0,,0.0,,7055.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 65,18.527,Project partition,1.639,30.3721,22.5,416.8575,0.13,0.13,270.0,90.0,True,0.0,,0.0,,7018.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 63,15.693,Project partition,1.639,25.7262,22.5,353.0925,0.13,0.13,270.0,90.0,True,0.0,,0.0,,5944.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 62,41.303,Project partition,1.639,67.7098,22.5,929.3176,0.13,0.13,270.0,90.0,True,0.0,,0.0,,15645.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 79,202.37,Project partition,1.639,331.7541,22.5,4553.325,0.13,0.13,359.95,90.0,True,0.0,,0.0,,76655.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 73,19.354,Project partition,1.639,31.7279,22.5,435.465,0.13,0.13,359.95,90.0,True,52.256,,56.61,,7331.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 70,36.783,Project partition,1.639,60.3,22.5,827.6176,0.13,0.13,90.0,90.0,True,0.0,,0.0,,13933.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 28,21.714,Project partition,1.639,35.5967,22.5,488.5651,0.13,0.13,180.0,90.0,True,0.0,,0.0,,8225.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 28,50.737,Project partition,1.639,83.1754,22.5,1141.583,0.13,0.13,90.0,90.0,True,0.0,,0.0,,19219.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 35,18.519,Project partition,1.639,30.359,22.5,416.6775,0.13,0.13,90.0,90.0,True,50.001,,54.168,,7015.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 40,18.648,Project partition,1.639,30.5705,22.5,419.58,0.13,0.13,90.0,90.0,True,0.0,,0.0,,7064.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 44,51.038,Project partition,1.639,83.6688,22.5,1148.355,0.13,0.13,90.0,90.0,True,0.0,,0.0,,19333.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 44,30.975,Project partition,1.639,50.7787,22.5,696.9376,0.13,0.13,0.0,90.0,True,0.0,,0.0,,11733.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 45,39.088,Project partition,1.639,64.0787,22.5,879.4801,0.13,0.13,0.0,90.0,True,0.0,,0.0,,14806.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 43,20.65,Project partition,1.639,33.8525,22.5,464.625,0.13,0.13,0.0,90.0,True,55.755,,60.401,,7822.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 43,17.71,Project partition,1.639,29.0328,22.5,398.475,0.13,0.13,270.0,90.0,True,0.0,,0.0,,6708.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 42,14.15,Project partition,1.639,23.1967,22.5,318.375,0.13,0.13,270.0,90.0,True,0.0,,0.0,,5360.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 39,8.555,Project partition,1.639,14.0246,22.5,192.4875,0.13,0.13,270.0,90.0,True,0.0,,0.0,,3241.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 48,7.67,Project partition,1.639,12.5738,22.5,172.575,0.13,0.13,270.0,90.0,True,0.0,,0.0,,2905.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 37,17.957,Project partition,1.639,29.4377,22.5,404.0326,0.13,0.13,0.0,90.0,True,48.484,,52.524,,6802.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 36,38.093,Project partition,1.639,62.4475,22.5,857.0925,0.13,0.13,0.0,90.0,True,102.851,,111.422,,14429.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 33,18.584,Project partition,1.639,30.4656,22.5,418.14,0.13,0.13,90.0,90.0,True,50.177,,54.358,,7039.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 33,27.851,Project partition,1.639,45.6574,22.5,626.6475,0.13,0.13,0.0,90.0,True,0.0,,0.0,,10550.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 30,10.414,Project partition,1.639,17.0721,22.5,234.315,0.13,0.13,0.0,90.0,True,28.118,,30.461,,3945.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 31,23.538,Project partition,1.639,38.5869,22.5,529.605,0.13,0.13,0.0,90.0,True,0.0,,0.0,,8916.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 29,30.385,Project partition,1.639,49.8115,22.5,683.6625,0.13,0.13,0.0,90.0,True,82.04,,88.876,,11509.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 91,61.95,Project partition,1.639,101.5574,22.5,1393.875,0.13,0.13,90.0,90.0,True,0.0,,0.0,,23466.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 26,19.958,Project partition,1.639,32.718,22.5,449.0551,0.13,0.13,90.0,90.0,True,0.0,,0.0,,7560.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 25,1.479,Project partition,1.639,2.4246,22.5,33.2775,0.13,0.13,176.03,90.0,True,0.0,,0.0,,560.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 25,17.256,Project partition,1.639,28.2885,22.5,388.26,0.13,0.13,90.0,90.0,True,0.0,,0.0,,6536.0
Ground Floor - Zone 83,Partition,Ground Floor - Zone 21,34.515,Project partition,1.639,56.582,22.5,776.5875,0.13,0.13,180.0,90.0,True,0.0,,0.0,,13074.0
Ground Floor - Zone 83,Wall,Outside,11.254,Best wall,1.774,19.9656,143.164,1611.168,0.04,0.13,180.08,90.0,True,1494.306,,1527.393,,4263.0
Ground Floor - Zone 83,Glazing,Outside,30.679,SageGlass Climatop Blue No Tint,0.687,21.0765,0.0,0.0,0.061,0.293,0.0,90.0,False,1560.334,**,1560.334,**,0.0
Ground Floor - Zone 83,Glazing,Outside,30.09,SageGlass Climatop Blue No Tint,0.687,20.6718,0.0,0.0,0.061,0.293,270.0,90.0,False,1530.377,**,1530.377,**,0.0
Ground Floor - Zone 83,Glazing,Outside,42.935,SageGlass Climatop Blue No Tint,0.687,29.4963,0.0,0.0,0.061,0.293,180.0,90.0,False,2183.674,**,2183.674,**,0.0
Ground Floor - Zone 83,Glazing,Outside,20.585,SageGlass Climatop Blue No Tint,0.687,14.1419,0.0,0.0,0.061,0.293,90.0,90.0,False,1046.953,**,1046.953,**,0.0
Ground Floor - Zone 83,Glazing,Outside,4.823,SageGlass Climatop Blue No Tint,0.687,3.3134,0.0,0.0,0.061,0.293,180.08,90.0,False,245.298,**,245.298,**,0.0
Ground Floor - Zone 35,Infiltration,Outside,,,,21.217,,,,,,,False,0.0,,,,
Ground Floor - Zone 35,Ceiling,First floor - Zone 95,0.785,Project internal floor_Reversed,2.929,2.2992,88.2,69.237,0.17,0.1,180.0,0.0,True,6.594,,6.594,,335.0
Ground Floor - Zone 35,Ceiling,First floor - Zone 50,14.651,Project internal floor_Reversed,2.929,42.9109,88.2,1292.218,0.17,0.1,180.0,0.0,True,123.068,,123.068,,6243.0
Ground Floor - Zone 35,Partition,Ground Floor - Zone 40,28.91,Project partition,1.639,47.3934,22.5,650.475,0.13,0.13,180.0,90.0,True,0.0,,0.0,,10951.0
Ground Floor - Zone 35,Partition,Ground Floor - Zone 38,18.653,Project partition,1.639,30.5787,22.5,419.6925,0.13,0.13,90.0,90.0,True,0.0,,0.0,,7066.0
Ground Floor - Zone 35,Partition,Ground Floor - Zone 83,18.519,Project partition,1.639,30.359,22.5,416.6775,0.13,0.13,270.0,90.0,True,50.001,,54.168,,7015.0
Ground Floor - Zone 35,Partition,Ground Floor - Zone 28,28.91,Project partition,1.639,47.3934,22.5,650.475,0.13,0.13,359.73,90.0,True,0.0,,0.0,,10951.0
Ground Floor - Zone 35,Ground floor,Ground,15.436,Project ground floor,0.25,3.858,93.96,1450.367,0.01,0.17,0.0,180.0,True,629.358,,635.235,,6578.0
Ground Floor - Zone 38,Infiltration,Outside,,,,81.715,,,,,,,False,0.0,,,,
Ground Floor - Zone 38,Ceiling,First floor - Zone 47,29.814,Project internal floor_Reversed,2.929,87.3213,88.2,2629.595,0.17,0.1,180.0,0.0,True,250.438,,250.438,,12705.0
Ground Floor - Zone 38,Ceiling,First floor - Zone 40,26.445,Project internal floor_Reversed,2.929,77.454,88.2,2332.449,0.17,0.1,180.0,0.0,True,222.138,,222.138,,11269.0
Ground Floor - Zone 38,Ceiling,First floor - Zone 88,1.479,Project internal floor_Reversed,2.929,4.3318,88.2,130.4478,0.17,0.1,180.0,0.0,True,12.424,,12.424,,630.0
Ground Floor - Zone 38,Partition,Ground Floor - Zone 48,23.417,Project partition,1.639,38.3885,22.5,526.8826,0.13,0.13,180.0,90.0,True,0.0,,0.0,,8870.0
Ground Floor - Zone 38,Partition,Ground Floor - Zone 37,40.415,Project partition,1.639,66.2541,22.5,909.3376,0.13,0.13,90.0,90.0,True,109.121,,118.214,,15309.0
Ground Floor - Zone 38,Partition,Ground Floor - Zone 47,26.417,Project partition,1.639,43.3066,22.5,594.3826,0.13,0.13,180.0,90.0,True,0.0,,0.0,,10006.0
