zone_name,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
Ground Floor - Zone 33,Partition,Ground Floor - Zone 30,19.618,Project partition,1.639,32.1607,22.5,441.405,0.13,0.13,90.0,90.0,True,52.969,,57.383,,7431.0
Ground Floor - Zone 33,Partition,Ground Floor - Zone 83,18.584,Project partition,1.639,30.4656,22.5,418.14,0.13,0.13,270.0,90.0,True,50.177,,54.358,,7039.0
Ground Floor - Zone 33,Partition,Ground Floor - Zone 36,10.254,Project partition,1.639,16.8098,22.5,230.715,0.13,0.13,270.0,90.0,True,27.686,,29.993,,3884.0
Ground Floor - Zone 33,Partition,Ground Floor - Zone 23,11.643,Project partition,1.639,19.0869,22.5,261.9675,0.13,0.13,0.0,90.0,True,31.436,,34.056,,4410.0
Ground Floor - Zone 33,Partition,Ground Floor - Zone 32,9.221,Project partition,1.639,15.1164,22.5,207.4725,0.13,0.13,90.0,90.0,True,0.0,,0.0,,3493.0
Ground Floor - Zone 33,Partition,Ground Floor - Zone 32,16.208,Project partition,1.639,26.5705,22.5,364.68,0.13,0.13,0.0,90.0,True,0.0,,0.0,,6139.0
Ground Floor - Zone 33,Ground floor,Ground,18.78,Project ground floor,0.25,4.6938,93.96,1764.569,0.01,0.17,0.0,180.0,True,765.699,,772.85,,8003.0
Ground Floor - Zone 30,Infiltration,Outside,,,,0.003,,,,,,,False,0.0,,,,
Ground Floor - Zone 30,Ceiling,First floor - Zone 38,1.037,Project internal floor_Reversed,2.929,3.0372,88.2,91.4634,0.17,0.1,180.0,0.0,True,8.711,,8.711,,442.0
Ground Floor - Zone 30,Ceiling,First floor - Zone 43,0.512,Project internal floor_Reversed,2.929,1.4996,88.2,45.1584,0.17,0.1,180.0,0.0,True,4.301,,4.301,,218.0
Ground Floor - Zone 30,Partition,Ground Floor - Zone 83,10.414,Project partition,1.639,17.0721,22.5,234.315,0.13,0.13,180.0,90.0,True,0.0,,0.0,,3945.0
Ground Floor - Zone 30,Partition,Ground Floor - Zone 31,19.618,Project partition,1.639,32.1607,22.5,441.405,0.13,0.13,90.0,90.0,True,0.0,,0.0,,7431.0
Ground Floor - Zone 30,Partition,Ground Floor - Zone 33,19.618,Project partition,1.639,32.1607,22.5,441.405,0.13,0.13,270.0,90.0,True,0.0,,0.0,,7431.0
Ground Floor - Zone 30,Partition,Ground Floor - Zone 32,10.414,Project partition,1.639,17.0721,22.5,234.315,0.13,0.13,0.0,90.0,True,0.0,,0.0,,3945.0
Ground Floor - Zone 30,Wall,Outside,11.151,Best wall,1.774,19.7829,143.164,1596.422,0.04,0.13,270.0,90.0,True,1480.63,,1513.414,,4224.0
Ground Floor - Zone 30,Wall,Outside,6.608,Best wall,1.774,11.7232,143.164,946.0277,0.04,0.13,180.0,90.0,True,877.41,,896.838,,2503.0
Ground Floor - Zone 30,Wall,Outside,11.151,Best wall,1.774,19.7829,143.164,1596.422,0.04,0.13,90.0,90.0,True,1480.63,,1513.414,,4224.0
Ground Floor - Zone 30,Wall,Outside,6.608,Best wall,1.774,11.7232,143.164,946.0277,0.04,0.13,0.0,90.0,True,877.41,,896.838,,2503.0
