Keyword,Name,Layers,UValue (W/m2K),Trans Light (VT),Trans Total (SHGC),Trans Direct Solar,Cost per surface area (EGP/m2),,,,,,,,,,,
GLAZING ,Project internal glazing,3,2.178,0.738,0.682,0.595,1609.85,,,,,,,,,,,
GLAZING ,SageGlass Climatop Blue No Tint,3,0.687,0.357,0.248,0.192,946.97,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Building Data,,,,,,,,,,,,,,,,,,
Building number of zones:,312,,,,,,,,,,,,,,,,,
Building heated/cooled floor area (m2),17948.18,,,,,,,,,,,,,,,,,
Building volume (m3),97074.29,,,,,,,,,,,,,,,,,
Building external area (m2),30155.8,,,,,,,,,,,,,,,,,
Building area-weighted average U-value (W/m2K),1.137,,,,,,,,,,,,,,,,,
Building external surface area/Volume (m-1),0.311,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity Area Summary,,,,,,,,,,,,,,,,,,
Activity,Area (m2),,,,,,,,,,,,,,,,,
Generic Office Area,17948.18,,,,,,,,,,,,,,,,,
Total,17948.18,,,,,,,,,,,,,,,,,
,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
,Infiltration,Outside,N/A,N/A,N/A,331.288,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,0,,,,
,Ceiling,First floor - Zone 92,41.121,Project internal floor_Reversed,2.929,120.4381,88.2,3626.872,0.17,0.1,180,0,TRUE,345.416,,345.416,,"17,523"
,Ceiling,First floor - Zone 11,0.514,Project internal floor_Reversed,2.929,1.5054,88.2,45.3348,0.17,0.1,180,0,TRUE,4.318,,4.318,,219
,Ceiling,First floor - Zone 9,0.406,Project internal floor_Reversed,2.929,1.1891,88.2,35.8092,0.17,0.1,180,0,TRUE,3.41,,3.41,,173
,Ceiling,First floor - Zone 8,83.123,Project internal floor_Reversed,2.929,243.4565,88.2,7331.449,0.17,0.1,180,0,TRUE,698.233,,698.233,,"35,422"
,Ceiling,First floor - Zone 1,3.852,Project internal floor_Reversed,2.929,11.282,88.2,339.7464,0.17,0.1,180,0,TRUE,32.357,,32.357,,"1,641"
,Ceiling,First floor - Zone 7,106.759,Project internal floor_Reversed,2.929,312.6833,88.2,9416.145,0.17,0.1,180,0,TRUE,896.776,,896.776,,"45,494"
,Wall,Outside,92.568,Best wall,1.774,164.2238,143.164,13252.41,0.04,0.13,90,90,TRUE,12291.18,,12563.33,,"35,064"
,Partition,Ground Floor - Zone 5,20.945,Project partition,1.639,34.3361,22.5,471.2625,0.13,0.13,180,90,TRUE,56.552,,61.264,,"7,934"
