Element,count,area_m2,ua_w_k,km_area_kj_k
Ceiling,563,12375.037,36244.8768,1091478.3282
Floor,625,12708.548,36327.0234,1093577.9543
Glazing,599,4295.5289999999995,3391.4009,0.0
Ground floor,97,6321.629,1580.0067,593980.2973
Infiltration,312,0.0,24495.564,0.0
Partition,1675,44011.606,72159.5831,990709.821
Roof,124,6654.914,1484.3643,1597179.35
Wall,783,12845.576000000001,22789.1937,1839024.0676
